# dimension = 2
# nrOfCluster | Time | Size | Radius 
162	27	70	10	
163	19	43	9	
164	2	2	1	
165	22	45	7	
166	4	5	1	
167	2	2	1	
168	19	34	6	
169	28	75	14	
170	47	287	15	
171	163	1838	31	
172	2	2	1	
173	1	1	0	
174	66	316	26	
175	6	13	2	
176	3	3	2	
177	28	89	10	
178	2	3	1	
179	64	144	18	
180	11	22	6	
181	112	853	35	
182	19	31	5	
183	115	1454	27	
184	1	1	0	
185	4	6	2	
186	187	1355	42	
187	140	625	36	
188	22	40	7	
189	9	18	3	
190	4	4	2	
191	1	1	0	
192	9	15	5	
193	227	3165	46	
194	15	69	7	
195	45	152	16	
196	5	5	2	
197	46	275	15	
198	2	2	1	
199	72	543	28	
200	48	306	16	
201	1	1	0	
202	2	2	1	
203	7	9	4	
204	137	495	19	
205	6	6	2	
206	10	13	5	
207	85	424	27	
208	79	890	27	
209	31	65	11	
210	41	140	13	
211	195	845	54	
212	5	8	2	
213	5	7	2	
214	9	9	3	
215	25	81	7	
216	7	9	3	
217	4	5	2	
218	3	5	1	
219	5	5	2	
220	25	63	10	
221	28	62	9	
222	1	1	0	
223	30	68	11	
224	49	138	10	
225	11	15	4	
226	24	77	14	
227	5	5	2	
228	93	406	25	
229	2	3	1	
230	5	7	2	
231	16	35	8	
232	26	44	6	
233	1	1	0	
234	8	14	4	
235	6	7	2	
236	26	96	8	
237	139	375	28	
238	9	13	4	
239	66	632	29	
240	1	1	0	
241	8	15	3	
242	1	1	0	
243	91	538	26	
244	1	1	0	
245	27	87	13	
246	1	1	0	
247	93	817	20	
248	193	2170	39	
249	3	4	1	
250	2	2	1	
251	46	68	13	
252	42	162	18	
253	105	567	30	
254	1	1	0	
255	4	4	1	
256	14	15	4	
257	44	446	18	
258	7	10	4	
259	16	36	8	
260	173	922	46	
261	12	33	7	
262	1	1	0	
263	5	6	2	
264	3	3	1	
265	22	34	6	
266	19	40	5	
267	18	39	9	
268	1	1	0	
269	3	3	1	
270	78	297	22	
271	28	89	7	
272	54	344	12	
273	3	3	1	
274	4	5	1	
275	15	26	6	
276	21	38	8	
277	84	400	30	
278	153	1031	29	
279	2	2	1	
280	3	3	1	
281	1	1	0	
282	19	36	7	
283	60	171	12	
284	9	20	3	
285	7	9	2	
286	93	528	34	
287	3	3	1	
288	13	27	7	
