# ClusterNr | averageSlope | clustersize
210	2	 44
211	2	 2
212	1.95918	 29
213	1.96667	 11
214	1.94737	 8
215	2.10924	 83
216	2.05872	 442
217	2.0625	 56
218	2.06944	 48
219	2.08876	 564
220	2.03529	 107
221	1.89474	 7
222	2.05836	 265
223	2.08247	 140
224	2.08457	 374
225	1.96	 26
226	1.8	 1
227	1.91304	 9
228	1.83333	 2
229	2.07889	 364
230	2.16667	 2
231	2.02	 25
232	2.05473	 142
233	2.0596	 233
234	2.00885	 76
235	1.625	 6
236	1.4	 1
237	2.08448	 1024
238	2.10293	 1341
239	1.94737	 11
240	1.5	 1
241	2	 7
242	2.15385	 6
243	2	 1
244	1.6	 1
245	2.08	 93
246	1.875	 3
247	2.07539	 778
248	2.07353	 452
249	1.5	 1
250	1.6	 1
251	1.97917	 23
252	2	 12
253	1.75	 1
254	2.04237	 173
255	1.8	 1
256	1.97959	 60
257	1.88889	 3
258	2.08511	 89
259	1.93182	 23
260	1.9	 9
261	1.83333	 4
262	2	 10
263	2.01449	 44
264	1.82353	 7
265	1.90909	 25
266	1.9918	 76
267	2.10364	 1246
268	2.04398	 386
269	1.95385	 37
270	2.06726	 159
271	2.0339	 73
272	2.08065	 250
273	2.03252	 81
274	1.96154	 11
275	2.0479	 243
276	1.93023	 21
277	1.4	 1
278	1.86111	 19
279	2	 8
280	1.90909	 3
281	2.09953	 144
282	1.95402	 49
283	1.8	 1
284	1.625	 2
285	2.08654	 1660
286	1.70968	 15
287	2.125	 2
288	1.92857	 5
289	2.1156	 1059
290	1.98551	 150
291	2.07468	 990
292	2	 9
293	2.10825	 992
294	1.53846	 4
295	2.06276	 182
296	2.0101	 67
297	2.03448	 14
298	2.07026	 669
299	2.10076	 1050
300	2.02703	 19
301	2.10646	 707
302	2.08333	 4
303	2.02837	 93
304	1.8	 1
305	1.95652	 8
306	2.01899	 105
307	1.95238	 9
308	1.95588	 40
309	2	 1
310	1.89474	 8
311	1.83333	 4
312	1.98942	 128
313	2.05897	 314
314	2	 16
315	2	 31
316	1.89474	 8
317	2	 5
318	2.01242	 112
319	1.98969	 63
320	1.8	 1
321	2.04883	 394
322	1.82759	 13
323	2.01724	 33
324	1.6	 1
325	1.8	 1
326	1.98333	 34
327	1.96552	 13
328	1.8	 5
329	1.81818	 30
330	2.11227	 382
331	1.84	 12
332	2.05	 106
333	2.09266	 200
334	2.00413	 163
335	2.09412	 335
336	1.87097	 12
337	2.06667	 22
338	2.12	 34
339	2.07568	 127
340	2.04805	 257
341	2	 15
342	1.72727	 11
343	1.96296	 13
344	2.01307	 96
345	2.09574	 275
346	2	 23
347	2.0101	 60
348	2	 2
349	1.95946	 44
350	1.8	 1
351	2	 8
352	1.4	 1
353	2.11368	 1549
354	1.97436	 19
355	1.8	 1
356	1.91667	 10
357	1.6	 1
358	2	 10
359	2.01695	 32
360	1.81818	 3
361	1.70588	 6
362	2.03509	 116
363	2.01389	 156
364	1.9901	 64
365	1.90476	 9
366	2.05932	 79
367	2.12763	 1272
368	1.6	 1
369	1.71429	 2
370	1.80952	 9
371	2.01087	 62
372	1.75	 2
373	2.04891	 131
374	1.66667	 3
375	2	 2
376	2.09211	 297
377	2.10769	 40
378	2.06459	 352
379	2.06883	 395
380	1.96	 27
381	2.10944	 1281
382	2.10903	 1703
383	2.10364	 1072
384	2.05112	 240
385	2	 7
386	2.09216	 747
387	1.83871	 14
388	2.00885	 67
389	1.5	 1
390	2.07494	 337
391	2.10424	 460
392	1.98413	 86
393	2.08333	 83
394	2.07273	 27
395	1.8	 1
396	2.08477	 1103
397	1.97368	 21
398	2	 23
399	2.125	 2
400	2.03077	 35
401	2	 1
402	2.09639	 175
403	2.09358	 1223
404	1.76923	 4
405	1.96429	 13
406	2.08444	 481
407	2.02326	 23
408	2.02899	 40
409	1.625	 2
410	2.10805	 1735
411	1.9899	 60
412	2.11792	 170
413	2.08078	 1162
414	2.02206	 91
415	1.5	 2
416	1.76923	 4
417	2.05202	 257
418	1.97521	 75
419	2.09346	 67
420	2.06699	 488
421	1.89286	 13
422	2.09727	 1025
423	2	 36
424	2.0303	 17
425	2.125	 3
426	2	 63
427	2.05427	 601
428	2.01681	 81
429	1.6	 1
430	2.04934	 400
431	2.08264	 917
432	2.05333	 105
433	2	 1
434	1.93939	 39
435	1.90909	 9
436	1.73333	 5
437	2	 2
438	1.72727	 4
439	1.92157	 54
440	1.9	 8
441	2.08296	 549
442	2.02299	 54
443	1.90476	 8
444	2.0303	 17
445	2.05172	 39
446	2	 10
447	2.07038	 264
448	1.95495	 64
449	2	 3
450	2.00405	 180
451	1.875	 2
452	2	 83
453	1.95833	 10
454	1.84615	 4
455	1.83333	 2
456	2.05422	 231
457	2.02646	 132
458	2	 1
459	1.5	 1
460	2.15789	 9
461	1.94444	 7
462	2.06612	 267
463	2.10314	 1042
464	2.04	 243
465	1.625	 2
466	1.93333	 5
467	2	 2
468	1.91935	 37
469	2	 1
470	2	 4
471	1.79167	 10
472	2.07	 65
473	2.07787	 186
474	2.07801	 317
475	1.96947	 76
476	1.83333	 7
477	1.975	 22
478	1.75	 3
479	2.06635	 328
480	2.02116	 126
481	2	 18
482	1.92	 10
483	1.71429	 2
484	2.10843	 1671
485	2.09302	 29
486	2.15385	 5
487	1.82759	 14
488	2.06977	 79
489	2.08857	 268
490	2.03448	 14
491	2	 9
492	2	 1
493	2.08933	 700
494	2.03646	 142
495	2.10217	 625
496	1.8	 1
497	2.10272	 1026
498	2.08625	 1182
499	1.95506	 53
