# PileNr | averageSlopeLattice | averageSlopeCluster | averageSlopeReached | clustersize
53	2.1072	 3	 1.8	 3
54	2.098	 2.34211	 2.08824	 228
55	2.0956	 3	 2	 1
56	2.1112	 3	 1.84615	 4
57	2.0948	 2.30352	 2.1	 369
58	2.1024	 2.3629	 2	 124
59	2.1016	 2.88889	 1.77273	 9
60	2.1028	 2.64286	 1.89286	 14
61	2.1152	 3	 1.6	 1
62	2.1036	 2.53846	 2.04255	 26
63	2.092	 3	 1.92857	 4
64	2.0984	 2.75	 1.83333	 4
65	2.1092	 2.47143	 2.0463	 70
66	2.0948	 2.44118	 1.88889	 34
67	2.1052	 2.59091	 1.97619	 22
68	2.0908	 2.44262	 1.97838	 122
69	2.098	 2.69231	 1.92857	 13
70	2.1124	 2.8	 2	 10
71	2.0904	 2.75	 2	 8
72	2.1044	 2.30627	 2.06618	 542
73	2.1048	 2.2674	 2.09242	 819
74	2.0956	 2.68182	 2.06667	 22
75	2.1136	 2.64	 2	 25
76	2.124	 2.27665	 2.12235	 1088
77	2.0956	 2.5	 1.91935	 36
78	2.0996	 3	 1.72727	 3
79	2.1048	 3	 1.5	 2
80	2.1044	 3	 1.6	 1
81	2.0976	 3	 1.9375	 6
82	2.1024	 3	 2	 2
83	2.088	 3	 1.8	 5
84	2.1168	 2.2827	 2.07612	 237
85	2.0964	 2.54286	 1.95	 35
86	2.1104	 2.60714	 2.12766	 28
87	2.1016	 2.72222	 1.88235	 18
88	2.0904	 2.73333	 1.90323	 15
89	2.1044	 2.31734	 2.0419	 271
90	2.106	 3	 1.6	 1
91	2.0884	 2.51429	 2.0678	 35
92	2.104	 2.75	 2.04167	 12
93	2.0976	 2.79167	 2.0625	 24
94	2.1052	 2.33333	 2.10791	 339
95	2.1116	 2.75	 1.81481	 12
96	2.0992	 2.52632	 2.09677	 38
97	2.0924	 3	 1.9	 3
98	2.1092	 3	 1.81818	 3
99	2.1104	 2.42857	 2.06383	 70
100	2.0972	 3	 1.875	 2
101	2.0976	 3	 1.875	 2
102	2.0964	 2.23478	 2.0807	 1035
103	2.1056	 2.45536	 1.98256	 112
104	2.1004	 3	 1.8	 1
105	2.1068	 2.31579	 2.09606	 513
106	2.1064	 2.33333	 2.09116	 288
107	2.1036	 2.71429	 1.70588	 7
108	2.096	 2.32692	 2.0885	 364
109	2.0948	 2.30544	 2.02941	 239
110	2.0896	 3	 1.8	 1
111	2.1108	 2.85714	 1.90909	 14
112	2.092	 3	 2	 5
113	2.1016	 2.47222	 1.91803	 36
114	2.0916	 2.725	 2.0125	 40
115	2.124	 2.5814	 1.9589	 43
